rel_path,filename,page_count,pc1,pc2
Acme Corp/Human resources/SWEAT/SWEAT terms.docx,SWEAT terms.docx,5,16.169981002807617,1.7531523704528809
Acme Corp/IT/Data Processing Agreement.docx,Data Processing Agreement.docx,13,15.986272811889648,4.033217430114746
Acme Corp/IT/Privacy Policy.docx,Privacy Policy.docx,7,16.60175132751465,3.2034695148468018
Acme Corp/IT/Security Policy.docx,Security Policy.docx,4,16.643999099731445,3.169621706008911
Acme Corp/IT/Terms of Use.docx,Terms of Use.docx,5,16.931396484375,2.779388904571533
Acme Corp/Intellectual Property/Cornballer Patent.docx,Cornballer Patent.docx,1,17.361778259277344,1.516377568244934
Acme Corp/Sales & Marketing/General Terms & Conditions (Recovered - 2024-02-26_16-40).docx,General Terms & Conditions (Recovered - 2024-02-26_16-40).docx,2,16.100547790527344,2.1198647022247314
Acme Corp/Tax/opinions/SWEAT opinion - DLA Piper.pdf,SWEAT opinion - DLA Piper.pdf,4,16.295360565185547,1.9580059051513672
Acme Corp/Tax/opinions/Tax Opinion.docx,Tax Opinion.docx,1,15.915468215942383,-0.9420965909957886
CUAD_v1/Affiliate Agreement/GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,8,17.186281204223633,1.2789429426193237
CUAD_v1/Affiliate_Agreements/CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,12,17.767362594604492,1.5492533445358276
CUAD_v1/Affiliate_Agreements/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,16,17.58450698852539,1.6197320222854614
CUAD_v1/Affiliate_Agreements/DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,37,17.57564353942871,1.4582531452178955
CUAD_v1/Affiliate_Agreements/SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,8,17.74560546875,1.5868924856185913
CUAD_v1/Affiliate_Agreements/SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,4,17.746017456054688,1.581268548965454
CUAD_v1/Affiliate_Agreements/TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,24,17.63892364501953,1.4220409393310547
